,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119082119_3256185981139726_1000582843962958509_n.jpg?_nc_cat=110&_nc_sid=8024bb&_nc_ohc=Tk-V4bucmigAX8RVFXv&_nc_ht=scontent-atl3-1.xx&tp=14&oh=e202568c4c82d10a568545262d00a011&oe=5F894889,0.0,,3256186027806388,ASPIRA encourages everyone to complete their 2020 Census. Please know that your participation is important to both the future of our North Philadelphia Community and the ASPIRA schools. Please see the flyer for more information.,https://facebook.com/story.php?story_fbid=3256186027806388&id=788695434555472,,0.0,ASPIRA encourages everyone to complete their 2020 Census. Please know that your participation is important to both the future of our North Philadelphia Community and the ASPIRA schools. Please see the flyer for more information.,2020-09-12 15:30:31,,
1,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118088704_3174459489312376_511616241248462590_n.jpg?_nc_cat=102&_nc_sid=8024bb&_nc_ohc=1GzXMk2Q5E8AX-Vrvuu&_nc_ht=scontent-atl3-1.xx&tp=14&oh=3693a614989ac2978cc863bf494e1d70&oe=5F8980CF,2.0,,3174460262645632,"ADMISSION FOR THE 2020-2021 PRE-K SCHOOL YEAR IS OPEN
ADMISIÓN PARA EL AÑO ESCOLAR 2020-2021 ESTÁ ABIERTA",https://facebook.com/story.php?story_fbid=3174460262645632&id=788695434555472,,0.0,"ADMISSION FOR THE 2020-2021 PRE-K SCHOOL YEAR IS OPEN
ADMISIÓN PARA EL AÑO ESCOLAR 2020-2021 ESTÁ ABIERTA",2020-08-16 16:16:58,,
2,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/109348159_3081253751966284_173571403171872094_o.jpg?_nc_cat=109&_nc_sid=8024bb&_nc_ohc=LgGgw8qQWLYAX9s_0Uj&_nc_oc=AQnT0g6TyN1qIbrVKoVDuw6YYjqBAMSU8mEFvB98Esl0WHhl33_R9knAhy6zVG0DZck&_nc_ht=scontent-atl3-1.xx&tp=14&oh=7d241662011d657f6e6582636cd7d614&oe=5F8A0C17,1.0,,3081255148632811,"Shop today!! Offer is good until July 17, 2020.",https://facebook.com/story.php?story_fbid=3081255148632811&id=788695434555472,,0.0,"Shop today!! Offer is good until July 17, 2020.",2020-07-14 23:20:01,,
3,0.0,,0.0,,3059997527425240,"Food is still being distributed at our Olney and Stetson locations for school-aged students from 9 am to 12noon, Mondays, and Thursdays. The program will run until July 30th, 2020.",https://facebook.com/story.php?story_fbid=3059997527425240&id=788695434555472,,0.0,"Food is still being distributed at our Olney and Stetson locations for school-aged students from 9 am to 12noon, Mondays, and Thursdays. The program will run until July 30th, 2020.",2020-07-07 12:08:05,,
4,0.0,,0.0,https://forms.gle/4oQcvLKqws9fHVGn6,3026400077451652,"School Year 2020-2021 Feedback Survey:

As we all continue to confront the ongoing challenges of the Coronavirus pandemic, one thing remains constant: the value of a rigorous and consistent education. This coming academic year will certainly look different, and we know that we must make some important decisions about what school will look like and how our students will experience learning. Therefore, we need your help! Your input is essential and needed to help inform a final plan that keeps the safety and shared interests of our whole school community in mind. Please take a few minutes to complete the survey. Your feedback is greatly appreciated!

Click here: https://forms.gle/4oQcvLKqws9fHVGn6",https://facebook.com/story.php?story_fbid=3026400077451652&id=788695434555472,"DOCS.GOOGLE.COM
School Year 2020-2021 Feedback Survey",0.0,"School Year 2020-2021 Feedback Survey:

As we all continue to confront the ongoing challenges of the Coronavirus pandemic, one thing remains constant: the value of a rigorous and consistent education. This coming academic year will certainly look different, and we know that we must make some important decisions about what school will look like and how our students will experience learning. Therefore, we need your help! Your input is essential and needed to help inform a final plan that keeps the safety and shared interests of our whole school community in mind. Please take a few minutes to complete the survey. Your feedback is greatly appreciated!

Click here: https://forms.gle/4oQcvLKqws9fHVGn6

DOCS.GOOGLE.COM
School Year 2020-2021 Feedback Survey",2020-06-25 09:35:29,,
5,1.0,,0.0,,2993957914029202,"Flynn O Hará News:

6/16-6/18 20% off and FREE shipping!",https://facebook.com/story.php?story_fbid=2993957914029202&id=788695434555472,,0.0,"Flynn O Hará News:

6/16-6/18 20% off and FREE shipping!",2020-06-13 10:07:54,,
6,0.0,,1.0,,2961832280575099,Food distribution and school sites are closed tomorrow. We will plan to resume on Thursday pending guidance from the city.,https://facebook.com/story.php?story_fbid=2961832280575099&id=788695434555472,,0.0,Food distribution and school sites are closed tomorrow. We will plan to resume on Thursday pending guidance from the city.,2020-05-31 19:14:23,,
7,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/100829341_2949922245099436_4167783375811117056_o.jpg?_nc_cat=105&_nc_sid=8024bb&_nc_ohc=dNkYFbzWAbAAX8EnzBH&_nc_ht=scontent-atl3-1.xx&tp=14&oh=68eace2dd57f220f0ae1eccde29786ca&oe=5F88E76D,0.0,,2949923151766012,Please see the flyer below for important Board Meeting information.,https://facebook.com/story.php?story_fbid=2949923151766012&id=788695434555472,,0.0,Please see the flyer below for important Board Meeting information.,2020-05-27 16:08:17,,
8,0.0,,0.0,https://www.compass.pa.state.us/,2947179845373676,,https://facebook.com/story.php?story_fbid=2947179845373676&id=788695434555472,,0.0,,2020-05-26 11:58:13,,
9,0.0,,1.0,https://www.phila.gov/2020-05-12-maskupphl-why-when-and-how-to-use-a-mask/,2930338450391149,"In addition to staying at home, practicing social distancing, and washing your hands thoroughly, wearing a mask in public is one of the best ways to protect yourself and others around you from COVID-19. Many people are making their own masks for themselves and others with what they have available at home. Here are some tips to make sure you know why, when, and how to properly use a mask.

https://www.phila.gov/2020-05-12-maskupphl-why-when-and-how-to-use-a-mask/",https://facebook.com/story.php?story_fbid=2930338450391149&id=788695434555472,"PHILA.GOV
#MaskUpPHL: Why, when, and how to use a mask | Department of Public Health",0.0,"In addition to staying at home, practicing social distancing, and washing your hands thoroughly, wearing a mask in public is one of the best ways to protect yourself and others around you from COVID-19. Many people are making their own masks for themselves and others with what they have available at home. Here are some tips to make sure you know why, when, and how to properly use a mask.

https://www.phila.gov/2020-05-12-maskupphl-why-when-and-how-to-use-a-mask/

PHILA.GOV
#MaskUpPHL: Why, when, and how to use a mask | Department of Public Health",2020-05-19 10:42:06,,
10,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/97989372_2918525611572433_8233936916181942272_o.jpg?_nc_cat=104&_nc_sid=8024bb&_nc_ohc=3IcLknlOFNYAX_6nOtr&_nc_ht=scontent-atl3-1.xx&tp=14&oh=130f6d905c9040eae91d1c37b665c941&oe=5F866440,0.0,,2918525688239092,"¡LA INSCRIPCIÓN PARA 2020-2021 AHORA ESTÁ ABIERTA!

POR FAVOR LEA EL VOLANTE PARA MÁS DETALLES.",https://facebook.com/story.php?story_fbid=2918525688239092&id=788695434555472,,0.0,"¡LA INSCRIPCIÓN PARA 2020-2021 AHORA ESTÁ ABIERTA!

POR FAVOR LEA EL VOLANTE PARA MÁS DETALLES.",2020-05-15 09:30:13,,
11,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/98329507_2918525244905803_4898253632350191616_o.jpg?_nc_cat=103&_nc_sid=8024bb&_nc_ohc=rDjRonsrrmAAX-xshh3&_nc_ht=scontent-atl3-1.xx&tp=14&oh=39f8f9c8b6f183d8ce5949cd7e6e4775&oe=5F881479,3.0,,2918525308239130,"ENROLLMENT FOR 2020-2021 IS NOW OPEN!

PLEASE READ THE FLYER FOR MORE DETAILS.",https://facebook.com/story.php?story_fbid=2918525308239130&id=788695434555472,,0.0,"ENROLLMENT FOR 2020-2021 IS NOW OPEN!

PLEASE READ THE FLYER FOR MORE DETAILS.",2020-05-15 09:29:58,,
12,0.0,,2.0,,2914841268607534,"AMENDED BOARD MEETING

Eugenio Maria de Hostos Charter School

Antonia Pantoja Charter School
ASPIRA Bilingual Cyber Charter School
John B. Stetson Charter School
Olney Charter High School

will hold the May rescheduled board meeting on the following:

Wednesday, May 20, 2020

Time: 6:00pm

ASPIRA Bilingual Cyber Charter School

6301 N. 2nd Street

Phila., PA 19120

(ASPIRE Room)

(Call In-line will be publicly posted)",https://facebook.com/story.php?story_fbid=2914841268607534&id=788695434555472,,0.0,"AMENDED BOARD MEETING

Eugenio Maria de Hostos Charter School

Antonia Pantoja Charter School
ASPIRA Bilingual Cyber Charter School
John B. Stetson Charter School
Olney Charter High School

will hold the May rescheduled board meeting on the following:

Wednesday, May 20, 2020

Time: 6:00pm

ASPIRA Bilingual Cyber Charter School

6301 N. 2nd Street

Phila., PA 19120

(ASPIRE Room)

(Call In-line will be publicly posted)",2020-05-13 21:55:18,,
13,0.0,,2.0,http://PHLRentAssist.org/,2902672199824441,,https://facebook.com/story.php?story_fbid=2902672199824441&id=788695434555472,,0.0,,2020-05-08 18:03:02,,
14,0.0,,0.0,https://docs.google.com/forms/d/e/1FAIpQLSeF5bHesUZw3XCx_lYXHWEbjx_20jYAN18CuoDOu5HGaVXmKg/viewform,2886192558139072,Food and Supplies Resources - Please click on the link If you are in need of assistance and fill out this form! https://docs.google.com/forms/d/e/1FAIpQLSeF5bHesUZw3XCx_lYXHWEbjx_20jYAN18CuoDOu5HGaVXmKg/viewform http://edl.io/n1220468,https://facebook.com/story.php?story_fbid=2886192558139072&id=788695434555472,"DOCS.GOOGLE.COM
COVID Request for Food/Supplies",8.0,"Food and Supplies Resources - Please click on the link If you are in need of assistance and fill out this form! https://docs.google.com/forms/d/e/1FAIpQLSeF5bHesUZw3XCx_lYXHWEbjx_20jYAN18CuoDOu5HGaVXmKg/viewform http://edl.io/n1220468

DOCS.GOOGLE.COM
COVID Request for Food/Supplies",2020-05-01 13:13:00,,
15,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/95500631_2883894885035506_8823823096302534656_o.png?_nc_cat=108&_nc_sid=8024bb&_nc_ohc=wv-E0LaLhsAAX_EQ3MU&_nc_ht=scontent-atl3-1.xx&oh=4a079aa23b8a94ffa9890d12acf2bacb&oe=5F89F57F,4.0,,2883894958368832,The Sesame Street friends are here to share the “do’s” and don’ts” of wearing a face mask to stay healthy in public!,https://facebook.com/story.php?story_fbid=2883894958368832&id=788695434555472,,0.0,The Sesame Street friends are here to share the “do’s” and don’ts” of wearing a face mask to stay healthy in public!,2020-04-30 14:27:03,,
16,0.0,,2.0,https://www.inquirer.com/health/coronavirus/coronavirus-pennsylvania-pedro-rivera-school-reopen-masks-hybrid-staggered-20200428.html,2883830858375242,"CHANGES FOR THE FUTURE OF STUDENTS MAY BE COMING DUE TO THE COVID-19
https://www.inquirer.com/health/coronavirus/coronavirus-pennsylvania-pedro-rivera-school-reopen-masks-hybrid-staggered-20200428.html",https://facebook.com/story.php?story_fbid=2883830858375242&id=788695434555472,"INQUIRER.COM
Masks, staggered schedules, social distancing: When Pa. students return to school, things will look different",0.0,"CHANGES FOR THE FUTURE OF STUDENTS MAY BE COMING DUE TO THE COVID-19
https://www.inquirer.com/health/coronavirus/coronavirus-pennsylvania-pedro-rivera-school-reopen-masks-hybrid-staggered-20200428.html

INQUIRER.COM
Masks, staggered schedules, social distancing: When Pa. students return to school, things will look different",2020-04-30 13:50:29,,
17,0.0,,2.0,https://bit.ly/2R9av5m,2851622291596099,"Helpful information from the CDC
https://www.facebook.com/CDC/videos/531756597515913/",https://facebook.com/story.php?story_fbid=2851622291596099&id=788695434555472,"CDC
April 15 at 3:12 PM ·

Wearing a cloth face covering CORRECTLY can help prevent the spread of COVID-19 to others. When you go out on essential trips, follow these “do’s”.

If you have a child, remember those under age 2 should not wear a face covering. See: https://bit.ly/2R9av5m",0.0,"Helpful information from the CDC
https://www.facebook.com/CDC/videos/531756597515913/

CDC
April 15 at 3:12 PM ·

Wearing a cloth face covering CORRECTLY can help prevent the spread of COVID-19 to others. When you go out on essential trips, follow these “do’s”.

If you have a child, remember those under age 2 should not wear a face covering. See: https://bit.ly/2R9av5m",2020-04-16 13:24:50,https://video-atl3-1.xx.fbcdn.net/v/t42.9040-2/92479050_687777628694001_2793535265774239744_n.mp4?_nc_cat=104&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=der_vzTZqScAX8708ol&_nc_ht=video-atl3-1.xx&oh=b063327061adf7931e8234c072aff80a&oe=5F62A55A,
18,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/93805533_2851609231597405_3659936856365072384_n.jpg?_nc_cat=107&_nc_sid=8024bb&_nc_ohc=2sgspBVBxO8AX-HNezT&_nc_ht=scontent-atl3-1.xx&tp=14&oh=90735657e8a0190263ef8cc03af53673&oe=5F883348,0.0,http://www.pccy.org/covid,2851609464930715,"Find important information for children and families about how to apply for Medicaid and CHIP for free over the phone – and where immigrant families can find safe health care - in Spanish, Mandarin, Portuguese, Arabic, Russian and other languages at www.pccy.org/covid (click on Health Resources).",https://facebook.com/story.php?story_fbid=2851609464930715&id=788695434555472,,0.0,"Find important information for children and families about how to apply for Medicaid and CHIP for free over the phone – and where immigrant families can find safe health care - in Spanish, Mandarin, Portuguese, Arabic, Russian and other languages at www.pccy.org/covid (click on Health Resources).",2020-04-16 13:17:06,,
19,0.0,,1.0,,2843454009079594,"FOOD DISTRIBUTION UPDATE - Please be advised food distribution will not take place at John B. Stetson Charter School and Olney Charter High School during the week of April 13, 2020. Food distribution at both sites will resume on Monday, April 20, 2020.",https://facebook.com/story.php?story_fbid=2843454009079594&id=788695434555472,,0.0,"FOOD DISTRIBUTION UPDATE - Please be advised food distribution will not take place at John B. Stetson Charter School and Olney Charter High School during the week of April 13, 2020. Food distribution at both sites will resume on Monday, April 20, 2020.",2020-04-12 20:56:29,,
20,0.0,,0.0,,2826066984151630,"IMPORTANT TECHNOLOGY DISTRIBUTION INFORMATION

All families receiving technology distribution will be alerted by direct contact from the school so as to avoid crowds forming at the building location. Please arrive on the day and time your administration or the Robocall has directed. Any questions should be directed to the administrator at each school.

SCHEDULE:

Mon: Hostos/Pantoja 9 AM -12 PM

Tues: Cyber/ Olney 9 AM -12 PM

Wed: Olney/Stetson 9 AM -12 PM",https://facebook.com/story.php?story_fbid=2826066984151630&id=788695434555472,,0.0,"IMPORTANT TECHNOLOGY DISTRIBUTION INFORMATION

All families receiving technology distribution will be alerted by direct contact from the school so as to avoid crowds forming at the building location. Please arrive on the day and time your administration or the Robocall has directed. Any questions should be directed to the administrator at each school.

SCHEDULE:

Mon: Hostos/Pantoja 9 AM -12 PM

Tues: Cyber/ Olney 9 AM -12 PM

Wed: Olney/Stetson 9 AM -12 PM",2020-04-04 21:01:38,,
21,0.0,,0.0,https://t.co/CP4HR4FqqX?amp=1,2815018805256448,"The City, in partnership with community sites, SHARE, and Philabundance, announced today that it will be providing free food for households. This begins on Monday, March 30, 2020, at 10 a.m.
https://t.co/CP4HR4FqqX?amp=1",https://facebook.com/story.php?story_fbid=2815018805256448&id=788695434555472,"PHILA.GOV
Where to find free, nutritious food during COVID-19 | Managing Director's Office",0.0,"The City, in partnership with community sites, SHARE, and Philabundance, announced today that it will be providing free food for households. This begins on Monday, March 30, 2020, at 10 a.m.
https://t.co/CP4HR4FqqX?amp=1

PHILA.GOV
Where to find free, nutritious food during COVID-19 | Managing Director's Office",2020-03-30 19:17:02,,
22,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/91250792_2810150895743239_2641292371781746688_o.jpg?_nc_cat=100&_nc_sid=8024bb&_nc_ohc=CoQ9ugMQgmMAX_87AEz&_nc_ht=scontent-atl3-1.xx&tp=14&oh=f6397eeab8946539a5bcd44344178917&oe=5F869264,0.0,,2810150999076562,"Thank you to everyone involved in the distribution of ""Grab and Go"" meals at John B. Stetson Charter School!!",https://facebook.com/story.php?story_fbid=2810150999076562&id=788695434555472,,0.0,"Thank you to everyone involved in the distribution of ""Grab and Go"" meals at John B. Stetson Charter School!!",2020-03-28 14:43:00,,
23,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/91397097_2809911192433876_8152890221881458688_o.jpg?_nc_cat=108&_nc_sid=8024bb&_nc_ohc=eO8b0znOsH8AX-FWpFo&_nc_ht=scontent-atl3-1.xx&tp=14&oh=1bb3f93d728e0e799bad3c69cf337542&oe=5F8750DF,3.0,,2809911279100534,"Thank you, IT Department!",https://facebook.com/story.php?story_fbid=2809911279100534&id=788695434555472,,0.0,"Thank you, IT Department!",2020-03-28 12:27:10,,
24,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/91398595_2805746389517023_2907010556592390144_o.jpg?_nc_cat=104&_nc_sid=8024bb&_nc_ohc=Fc5at2HPKRUAX-nzbUa&_nc_ht=scontent-atl3-1.xx&tp=14&oh=1ea14039e69f64fcbfafde3c7496056a&oe=5F8A0CD1,1.0,,2805747619516900,"FREE MEALS UPDATE!!
Actualización de comida gratis!!!",https://facebook.com/story.php?story_fbid=2805747619516900&id=788695434555472,,0.0,"FREE MEALS UPDATE!!
Actualización de comida gratis!!!",2020-03-26 15:50:32,,
25,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/91259214_2803268906431438_4824699701771108352_o.jpg?_nc_cat=100&_nc_sid=8024bb&_nc_ohc=6R9nvfWys8YAX-vSNg2&_nc_ht=scontent-atl3-1.xx&tp=14&oh=0097b3df9471adebcd58fc9b592bffab&oe=5F87A1CA,2.0,http://education.pa.gov/COVID19,2803271846431144,"Need help finding free meals for kids? - Please see below for an important message from the PA Department of Education!

1) visit your school/district website + their social media
2) search via our new map: http://education.pa.gov/COVID19
3)monitor #Meals4KidsInPA on twitter",https://facebook.com/story.php?story_fbid=2803271846431144&id=788695434555472,,0.0,"Need help finding free meals for kids? - Please see below for an important message from the PA Department of Education!

1) visit your school/district website + their social media
2) search via our new map: http://education.pa.gov/COVID19
3)monitor #Meals4KidsInPA on twitter",2020-03-25 14:25:31,,
26,0.0,,0.0,https://mailchi.mp/phila/city-provides-update-on-covid-19-for-thursday-march-19-311365?e=07bd1a94dc,2796843090407353,"Ciudad emite orden de “Permanecer en Casa” - Ciudad emite orden de “Permanecer en Casa” y aclara restricciones sobre actividad comercial y personal en Filadelfia.
https://mailchi.mp/phila/city-provides-update-on-covid-19-for-thursday-march-19-311365?e=07bd1a94dc",https://facebook.com/story.php?story_fbid=2796843090407353&id=788695434555472,"MAILCHI.MP
Ciudad emite orden de “Permanecer en Casa” y aclara restricciones sobre actividad comercial y personal en Filadelfia",0.0,"Ciudad emite orden de “Permanecer en Casa” - Ciudad emite orden de “Permanecer en Casa” y aclara restricciones sobre actividad comercial y personal en Filadelfia.
https://mailchi.mp/phila/city-provides-update-on-covid-19-for-thursday-march-19-311365?e=07bd1a94dc

MAILCHI.MP
Ciudad emite orden de “Permanecer en Casa” y aclara restricciones sobre actividad comercial y personal en Filadelfia",2020-03-22 19:24:34,,
27,0.0,,1.0,https://mailchi.mp/phila/where-to-find-free-meal-sites-and-activities-while-schools-are-closed-311325?e=ce08bea8dd,2796832703741725,"Nuevas ubicaciones y horario para comidas gratis para estudiantes - Favor de hacer clic en el enlace para más información.
https://mailchi.mp/phila/where-to-find-free-meal-sites-and-activities-while-schools-are-closed-311325?e=ce08bea8dd",https://facebook.com/story.php?story_fbid=2796832703741725&id=788695434555472,"MAILCHI.MP
📅 New locations and schedule for free student meals",0.0,"Nuevas ubicaciones y horario para comidas gratis para estudiantes - Favor de hacer clic en el enlace para más información.
https://mailchi.mp/phila/where-to-find-free-meal-sites-and-activities-while-schools-are-closed-311325?e=ce08bea8dd

MAILCHI.MP
📅 New locations and schedule for free student meals",2020-03-22 19:18:33,,
28,0.0,,1.0,https://mailchi.mp/phila/where-to-find-free-meal-sites-and-activities-while-schools-are-closed-311325?e=ce08bea8dd,2796822020409460,"NEW LOCATIONS AND SCHEDULE FOR FREE STUDENT MEALS - Please click on the link for more information.
https://mailchi.mp/phila/where-to-find-free-meal-sites-and-activities-while-schools-are-closed-311325?e=ce08bea8dd",https://facebook.com/story.php?story_fbid=2796822020409460&id=788695434555472,"MAILCHI.MP
📅 New locations and schedule for free student meals",0.0,"NEW LOCATIONS AND SCHEDULE FOR FREE STUDENT MEALS - Please click on the link for more information.
https://mailchi.mp/phila/where-to-find-free-meal-sites-and-activities-while-schools-are-closed-311325?e=ce08bea8dd

MAILCHI.MP
📅 New locations and schedule for free student meals",2020-03-22 19:12:45,,
29,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/90015421_2787408561350806_3883900597484650496_o.jpg?_nc_cat=107&_nc_sid=8024bb&_nc_ohc=Ky0EVwpKJ0kAX_1wdZR&_nc_ht=scontent-atl3-1.xx&tp=14&oh=28b83a5441f2df188e0e1b15bbaa9e11&oe=5F87C43B,2.0,,2787409374684058,"OVER 700 MEALS WERE DISTRIBUTED TODAY!!! - We are happy and proud to announce the distribution of over 700 meals today to students all across the city of Philadelphia. There will be more distributions in the upcoming days. Please refer to the flyer for more information. Please remember students who do not go to an ASPIRA school are also welcome to enjoy a ""Grab-and-Go"" meal.",https://facebook.com/story.php?story_fbid=2787409374684058&id=788695434555472,,0.0,"OVER 700 MEALS WERE DISTRIBUTED TODAY!!! - We are happy and proud to announce the distribution of over 700 meals today to students all across the city of Philadelphia. There will be more distributions in the upcoming days. Please refer to the flyer for more information. Please remember students who do not go to an ASPIRA school are also welcome to enjoy a ""Grab-and-Go"" meal.",2020-03-18 17:39:16,,
30,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/89845495_2782352661856396_7003516643728949248_o.jpg?_nc_cat=100&_nc_sid=8024bb&_nc_ohc=HsKHW5UCR44AX_4zzV4&_nc_ht=scontent-atl3-1.xx&tp=14&oh=5a88471b44323fb88682ebab265d9648&oe=5F870B4B,0.0,,2782352808523048,"COMIDAS PARA NUESTROS ESTUDIANTES - Mientras nos preparamos para nuestro plan de aprendizaje a distancia, proporcionaremos comidas GRATUITAS a TODOS los estudiantes de nuestras escuelas de ASPIRA. Favor de leer el volante para obtener más información sobre dónde ir. Si hay estudiantes que viven cerca de un sitio de comidas, pero no asisten una de las escuelas de ASPIRA, todavia pueden recibir el servicio de comidas. Además, mientras las escuelas están cerradas, continúe revisando nuestros sitios web y canales de redes sociales para obtener actualizaciones.",https://facebook.com/story.php?story_fbid=2782352808523048&id=788695434555472,,0.0,"COMIDAS PARA NUESTROS ESTUDIANTES - Mientras nos preparamos para nuestro plan de aprendizaje a distancia, proporcionaremos comidas GRATUITAS a TODOS los estudiantes de nuestras escuelas de ASPIRA. Favor de leer el volante para obtener más información sobre dónde ir. Si hay estudiantes que viven cerca de un sitio de comidas, pero no asisten una de las escuelas de ASPIRA, todavia pueden recibir el servicio de comidas. Además, mientras las escuelas están cerradas, continúe revisando nuestros sitios web y canales de redes sociales para obtener actualizaciones.",2020-03-16 13:42:31,,
31,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/89856850_2782351601856502_1530148727027662848_o.jpg?_nc_cat=102&_nc_sid=8024bb&_nc_ohc=vQmG3GAHfTEAX95VfGD&_nc_ht=scontent-atl3-1.xx&tp=14&oh=cdd1f2b309bd767c9b63fc350905ac29&oe=5F88427B,1.0,,2782351795189816,"MEALS FOR STUDENTS- As we prepare for our distance learning plan, we will be providing FREE meals to ALL of our ASPIRA school's students. Please read the flyer for more information on where to go. If you live close to a meal site, but do not attend the school, are you are still welcome to receive a meal there. Also, while schools are closed, please continue to check our websites and social media channels for updates.",https://facebook.com/story.php?story_fbid=2782351795189816&id=788695434555472,,0.0,"MEALS FOR STUDENTS- As we prepare for our distance learning plan, we will be providing FREE meals to ALL of our ASPIRA school's students. Please read the flyer for more information on where to go. If you live close to a meal site, but do not attend the school, are you are still welcome to receive a meal there. Also, while schools are closed, please continue to check our websites and social media channels for updates.",2020-03-16 13:41:57,,
32,0.0,,4.0,,2775815005843495,,https://facebook.com/story.php?story_fbid=2775815005843495&id=788695434555472,,0.0,,2020-03-13 16:04:07,,
33,0.0,,1.0,,2771737972917865,"PUBLIC NOTICE-

John B. Stetson Charter School
Olney Charter High School
will hold a board meeting on:

Friday, March 13, 2020
Time: 1:00pm

ASPIRA Educational Campus
6301 N. 2nd Street
Phila., PA 19120
(Room 355)",https://facebook.com/story.php?story_fbid=2771737972917865&id=788695434555472,,0.0,"PUBLIC NOTICE-

John B. Stetson Charter School
Olney Charter High School
will hold a board meeting on:

Friday, March 13, 2020
Time: 1:00pm

ASPIRA Educational Campus
6301 N. 2nd Street
Phila., PA 19120
(Room 355)",2020-03-11 18:18:09,,
34,0.0,,9.0,,2769480869810242,,https://facebook.com/story.php?story_fbid=2769480869810242&id=788695434555472,,0.0,,2020-03-10 16:58:11,,
35,1.0,,8.0,https://www.inquirer.com/education/best-schools-philadelphia-most-improved-district-charter-2019-20200210.html,2710902965668033,"Which are the best, most improved Philly schools? District reveals them.
Congratulations to all of the ASPIRA schools staff and students on making the list! Keep up the hard work!

¿Cuáles son las escuelas de Filadelfia más mejoradas? El distrito los revela.
¡Felicitaciones a todo el personal y estudiantes de las escuelas de ASPIRA por hacer la lista!

https://www.inquirer.com/education/best-schools-philadelphia-most-improved-district-charter-2019-20200210.html",https://facebook.com/story.php?story_fbid=2710902965668033&id=788695434555472,"INQUIRER.COM
Which are the best, most improved Philly schools? District reveals 57.",0.0,"Which are the best, most improved Philly schools? District reveals them.
Congratulations to all of the ASPIRA schools staff and students on making the list! Keep up the hard work!

¿Cuáles son las escuelas de Filadelfia más mejoradas? El distrito los revela.
¡Felicitaciones a todo el personal y estudiantes de las escuelas de ASPIRA por hacer la lista!

https://www.inquirer.com/education/best-schools-philadelphia-most-improved-district-charter-2019-20200210.html

INQUIRER.COM
Which are the best, most improved Philly schools? District reveals 57.",2020-02-11 12:27:59,,
36,0.0,,2.0,,2709597269131936,"SCHOOL CLOSED FOR ANTONIA PANTOJA CHARTER SCHOOL ONLY - Due to a power outage at Antonia Pantoja charter, the school will be closed tomorrow Tuesday, February 11, 2020. Updates will come by the end of the day tomorrow.

ESCUELA CERRADA PARA LA ESCUELA DE ANTONIA PANTOJA SOLAMENTE - Debido a un corte de energía en la escuela de Antonia Pantoja, la escuela estará cerrada mañana martes 11 de febrero de 2020. Informaremos a todos con una actualización antes del final del día mañana",https://facebook.com/story.php?story_fbid=2709597269131936&id=788695434555472,,0.0,"SCHOOL CLOSED FOR ANTONIA PANTOJA CHARTER SCHOOL ONLY - Due to a power outage at Antonia Pantoja charter, the school will be closed tomorrow Tuesday, February 11, 2020. Updates will come by the end of the day tomorrow.

ESCUELA CERRADA PARA LA ESCUELA DE ANTONIA PANTOJA SOLAMENTE - Debido a un corte de energía en la escuela de Antonia Pantoja, la escuela estará cerrada mañana martes 11 de febrero de 2020. Informaremos a todos con una actualización antes del final del día mañana",2020-02-10 21:00:32,,
37,0.0,,1.0,,2709310902493906,"TODAY'S BOARD MEETING MOVED - Due to a power outage at Antonia Pantoja Charter School. Today's board meeting is being moved to John B. Stetson Charter School located at 3200 B St, Philadelphia, PA 19134 and will be held at 6 pm.",https://facebook.com/story.php?story_fbid=2709310902493906&id=788695434555472,,0.0,"TODAY'S BOARD MEETING MOVED - Due to a power outage at Antonia Pantoja Charter School. Today's board meeting is being moved to John B. Stetson Charter School located at 3200 B St, Philadelphia, PA 19134 and will be held at 6 pm.",2020-02-10 17:19:12,,
