,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119080015_1209873559391727_5168963759257737771_o.jpg?_nc_cat=107&_nc_sid=da1649&_nc_ohc=PklQ2Kgq9j0AX9JLPm-&_nc_ht=scontent-atl3-1.xx&tp=14&oh=6a48c903228367bfc2574bce416bcbb3&oe=5F8374D3,25.0,,1209873556058394,"Never Forget.⠀
⠀
9/11/2001⠀
⠀
#911Day #HawkTalk #ENSATS",,,0.0,"Never Forget.⠀
⠀
9/11/2001⠀
⠀
#911Day #HawkTalk #ENSATS",2020-09-11 11:00:35,,
1,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119117526_1209851402727276_35184189259903910_o.jpg?_nc_cat=108&_nc_sid=da1649&_nc_ohc=DcRQiQgqA-sAX88-X1v&_nc_oc=AQkJVxUkqbV-B7Dwtcrm2dk-X3pUW1I-Ow2-wZuuZv2lcKQajFn0ZUpXPj1BsUAIzIE&_nc_ht=scontent-atl3-1.xx&tp=14&oh=4253febd6d477902557d9351ae899d6f&oe=5F8361C8,21.0,,1209851396060610,"#MomentOfSilence - 9/11/2001 - 10:28 AM - World Trade Center North Tower Collapses⠀
⠀
#NeverForget #911Day #HawkTalk #ENSATS",,,0.0,"#MomentOfSilence - 9/11/2001 - 10:28 AM - World Trade Center North Tower Collapses⠀
⠀
#NeverForget #911Day #HawkTalk #ENSATS",2020-09-11 10:28:00,,
2,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/119041929_1209829706062779_713124573496562878_n.png?_nc_cat=102&_nc_sid=da1649&_nc_ohc=r2vNZS82TzcAX8Qrgsv&_nc_ht=scontent-atl3-1.xx&oh=90affd2888a0c73a4354232ee989cfa5&oe=5F820567,17.0,,1209829699396113,"#MomentOfSilence - 9/11/2001 - 10:03 AM - United Airlines Flight #93 crashes in Shanksville, Pennsylvania⠀
⠀
#NeverForget #911Day #HawkTalk #ENSATS",,,0.0,"#MomentOfSilence - 9/11/2001 - 10:03 AM - United Airlines Flight #93 crashes in Shanksville, Pennsylvania⠀
⠀
#NeverForget #911Day #HawkTalk #ENSATS",2020-09-11 10:03:04,,
3,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/119083243_1209826982729718_2740806643715467629_n.png?_nc_cat=105&_nc_sid=da1649&_nc_ohc=HxF9vihiE0cAX8LKJeZ&_nc_ht=scontent-atl3-1.xx&oh=b3a2ce2a0dd8d122e1d22df0c9a1a495&oe=5F828905,12.0,,1209826979396385,"#MomentOfSilence - 9/11/2001 - 9:59 AM - World Trade Center South Tower Collapses⠀
⠀
#NeverForget #911Day #HawkTalk #ENSATS",,,0.0,"#MomentOfSilence - 9/11/2001 - 9:59 AM - World Trade Center South Tower Collapses⠀
⠀
#NeverForget #911Day #HawkTalk #ENSATS",2020-09-11 09:59:00,,
4,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/119201023_1209811042731312_8150925116345565602_n.png?_nc_cat=106&_nc_sid=da1649&_nc_ohc=lzNCXETUiywAX8M5lmf&_nc_ht=scontent-atl3-1.xx&oh=e5af61f04cf254b4e86e8684564e00a6&oe=5F81E791,16.0,,1209811036064646,"#MomentOfSilence - 9/11/2001 - 9:37 AM - American Airlines Flight #77 crashes into the U.S. Pentagon⠀
⠀
#NeverForget #911Day #HawkTalk #ENSATS",,,0.0,"#MomentOfSilence - 9/11/2001 - 9:37 AM - American Airlines Flight #77 crashes into the U.S. Pentagon⠀
⠀
#NeverForget #911Day #HawkTalk #ENSATS",2020-09-11 09:37:01,,
5,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/119173042_1209788049400278_91737696372356356_n.png?_nc_cat=109&_nc_sid=da1649&_nc_ohc=YHjfRdwSoSUAX9t1wPs&_nc_ht=scontent-atl3-1.xx&oh=f8b43ff46356ec7495e3cb5199846218&oe=5F82FE25,12.0,,1209788046066945,"#MomentOfSilence - 9/11/2001 - 9:03 AM - United Airlines Flight #175 crashes into the World Trade Center South Tower⠀
⠀
#NeverForget #911Day #HawkTalk #ENSATS",,,0.0,"#MomentOfSilence - 9/11/2001 - 9:03 AM - United Airlines Flight #175 crashes into the World Trade Center South Tower⠀
⠀
#NeverForget #911Day #HawkTalk #ENSATS",2020-09-11 09:03:00,,
6,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/118970090_1209776099401473_6271294297149491890_n.png?_nc_cat=103&_nc_sid=da1649&_nc_ohc=sG9Yarg6VMcAX-zI2qU&_nc_ht=scontent-atl3-1.xx&oh=e9341809d69bceb1d7ac8be308657895&oe=5F838E32,8.0,,1209776096068140,"#MomentOfSilence - 9/11/2001 - 8:46 AM - American Airlines Flight #11 crashes into the World Trade Center North Tower.
⠀
#NeverForget #911Day #HawkTalk #ENSATS",,,0.0,"#MomentOfSilence - 9/11/2001 - 8:46 AM - American Airlines Flight #11 crashes into the World Trade Center North Tower.
⠀
#NeverForget #911Day #HawkTalk #ENSATS",2020-09-11 08:46:06,,
7,3.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/119169103_1209726726073077_4258579840919728471_n.png?_nc_cat=102&_nc_sid=da1649&_nc_ohc=j43IJOyNb1wAX-kD8hb&_nc_ht=scontent-atl3-1.xx&oh=26299ce4483618980b04b7215fa6ac44&oe=5F83CF21,34.0,,1209726722739744,"Today, September 11, 2020, Essex North Shore Agricultural & Technical School will be honoring those who lost their lives 19 years ago through a series of #MomentOfSilence posts throughout the day. We will resume our regular posts, highlighting all the great things happening at Essex North Shore, after school hours. #911day #HawkTalk #ENSATS",,,0.0,"Today, September 11, 2020, Essex North Shore Agricultural & Technical School will be honoring those who lost their lives 19 years ago through a series of #MomentOfSilence posts throughout the day. We will resume our regular posts, highlighting all the great things happening at Essex North Shore, after school hours. #911day #HawkTalk #ENSATS",2020-09-11 07:33:49,,
8,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119141807_1208985139480569_4823870018976054176_o.jpg?_nc_cat=104&_nc_sid=8024bb&_nc_ohc=MjuUOqOUc_EAX88Yceg&_nc_oc=AQm4GR7v5L-LBaSD5sJVI_xR8IQLy4YIHNxslh77r5fnNu-vj1ei1QWqF8xKNkuSx4A&_nc_ht=scontent-atl3-1.xx&tp=14&oh=85bac0c9635e8cd43bfe8c3835b358a3&oe=5F83B6C9,68.0,,1208985346147215,It’s all about the fashion here at Essex North Shore! Great day of tie dying! #HawkTalk #CreateEncouragePromoteDevelop #ENSATS,https://facebook.com/story.php?story_fbid=1208985346147215&id=232144207164672,,0.0,It’s all about the fashion here at Essex North Shore! Great day of tie dying! #HawkTalk #CreateEncouragePromoteDevelop #ENSATS,2020-09-10 11:43:39,,
9,3.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119078967_1208907392821677_7472010637076955981_o.jpg?_nc_cat=104&_nc_sid=da1649&_nc_ohc=kI3alIPljdMAX_EocRo&_nc_ht=scontent-atl3-1.xx&tp=14&oh=01bad0e260177d2db13dbca86e31b08b&oe=5F8252A9,43.0,,1208907386155011,What in the world would we be doing with all this dye? Stay tuned! #HawkTalk #CreateEncouragePromoteDevelop #ENSATS,,,0.0,What in the world would we be doing with all this dye? Stay tuned! #HawkTalk #CreateEncouragePromoteDevelop #ENSATS,2020-09-10 09:46:27,,
10,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119060744_1208846012827815_8599336915382773966_o.jpg?_nc_cat=102&_nc_sid=da1649&_nc_ohc=j0KmwVF8AmUAX9pDmMM&_nc_ht=scontent-atl3-1.xx&tp=14&oh=df2a9b1860f0dbd47e5cb05a86f204d0&oe=5F848B5F,18.0,,1208846009494482,CTAAC integration PD in progress! #HawkTalk #CreateEncouragePromoteDevelop #ENSATS,,,0.0,CTAAC integration PD in progress! #HawkTalk #CreateEncouragePromoteDevelop #ENSATS,2020-09-10 08:16:31,,
11,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119043293_1208140299565053_7258985992660624449_o.jpg?_nc_cat=105&_nc_sid=8024bb&_nc_ohc=FVlhPIUkITcAX-ikwXB&_nc_ht=scontent-atl3-1.xx&tp=14&oh=c3daf23ebcd04d889ecc0ed9452ec085&oe=5F84E8F0,28.0,,1208140409565042,"Director of Workforce Development, Bonnie Carr, discussing the after dark program with our CTE teachers! #ENSPartnerships #AgEdu #CareerTechEd #HawkTalk #CreateEncouragePromoteDevelop #ENSATS",https://facebook.com/story.php?story_fbid=1208140409565042&id=232144207164672,,0.0,"Director of Workforce Development, Bonnie Carr, discussing the after dark program with our CTE teachers! #ENSPartnerships #AgEdu #CareerTechEd #HawkTalk #CreateEncouragePromoteDevelop #ENSATS",2020-09-09 10:38:36,,
12,6.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118824530_1207497516295998_3061703837699471076_o.jpg?_nc_cat=104&_nc_sid=8024bb&_nc_ohc=dbVD_ep1YOcAX8c2ybU&_nc_ht=scontent-atl3-1.xx&tp=14&oh=6450d8ca5c69600e87cabf928a059302&oe=5F82855E,110.0,,1207497719629311,#ENSLeadership Team installing the social distancing signage around the building! #HawkTalk #CreateEncouragePromoteDevelop #ENSATS,https://facebook.com/story.php?story_fbid=1207497719629311&id=232144207164672,,0.0,#ENSLeadership Team installing the social distancing signage around the building! #HawkTalk #CreateEncouragePromoteDevelop #ENSATS,2020-09-08 15:00:12,,
13,3.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119058022_1207383052974111_396118499651280446_n.jpg?_nc_cat=108&_nc_sid=da1649&_nc_ohc=_1NEfs5Pt9wAX_mhhAb&_nc_ht=scontent-atl3-1.xx&tp=14&oh=be0ca6c34d422c5b900993c398a6b7d5&oe=5F846E49,78.0,,1207383046307445,#HawkThoughts #HawkTalk #CreateEncouragePromoteDevelop #ENSATS,,,0.0,#HawkThoughts #HawkTalk #CreateEncouragePromoteDevelop #ENSATS,2020-09-08 12:00:30,,
14,6.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118978105_1207255442986872_4959039477441923624_o.jpg?_nc_cat=101&_nc_sid=da1649&_nc_ohc=cYo5t8EsND4AX8XPM9c&_nc_ht=scontent-atl3-1.xx&tp=14&oh=79b152f517a1fbad0523fec0d119f4ff&oe=5F84DC98,71.0,,1207255439653539,Ms. Skane is ready to rock and roll us through the new student orientation. Can’t wait to see the kids! #NewestHawks #HawkTalk #CreateEncouragePromoteDevelop #ENSATS,,,0.0,Ms. Skane is ready to rock and roll us through the new student orientation. Can’t wait to see the kids! #NewestHawks #HawkTalk #CreateEncouragePromoteDevelop #ENSATS,2020-09-08 09:00:07,,
15,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118911047_1206383939740689_3122097260027394193_n.jpg?_nc_cat=108&_nc_sid=da1649&_nc_ohc=ugwto6TSjaUAX_03U88&_nc_ht=scontent-atl3-1.xx&tp=14&oh=660745fa5822b01ad958ff6a18207885&oe=5F81D7B5,31.0,,1206383936407356,Happy Labor Day 🔨! #LaborDay #AgEdu #CareerTechEd #HawkTalk #CreateEncouragePromoteDevelop #ENSATS,,,0.0,Happy Labor Day 🔨! #LaborDay #AgEdu #CareerTechEd #HawkTalk #CreateEncouragePromoteDevelop #ENSATS,2020-09-07 08:00:50,,
16,0.0,,14.0,https://buff.ly/3lOsj3K,1203382900040793,"The weekly Message from ENSATS is now available on our website! https://buff.ly/3lOsj3K. This weeks message includes information about our virtual learning plan, Chromebook information for new families, a face covering update, a school meal update, and much more! #HawkTalk #CreateEncouragePromoteDevelop #ENSATS",,,0.0,"The weekly Message from ENSATS is now available on our website! https://buff.ly/3lOsj3K. This weeks message includes information about our virtual learning plan, Chromebook information for new families, a face covering update, a school meal update, and much more! #HawkTalk #CreateEncouragePromoteDevelop #ENSATS",2020-09-03 19:23:13,,
17,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118773947_1203127706732979_1275825592844906418_n.jpg?_nc_cat=107&_nc_sid=da1649&_nc_ohc=ZKCGNJLBngIAX-Mm8iK&_nc_ht=scontent-atl3-1.xx&tp=14&oh=318306ef07448b2c55198debf8bdc112&oe=5F81B3C1,52.0,,1203127703399646,#HawkTalk #CreateEncouragePromoteDevelop #ENSATS,,,0.0,#HawkTalk #CreateEncouragePromoteDevelop #ENSATS,2020-09-03 12:12:38,,
18,9.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118761302_1201367210242362_41341588943444125_o.jpg?_nc_cat=100&_nc_sid=da1649&_nc_ohc=sm_YU-uSyBkAX8N8TmD&_nc_ht=scontent-atl3-1.xx&tp=14&oh=37ea0370508585b8b3cb154c056cf9bf&oe=5F84B172,36.0,https://buff.ly/2FRT8Bp,1201367203575696,School Bus Routes are now available on the Transportation page of the website! https://buff.ly/2FRT8Bp #ENSTransportation #HawkTalk #CreateEncouragePromoteDevelop #ENSATS,,,0.0,School Bus Routes are now available on the Transportation page of the website! https://buff.ly/2FRT8Bp #ENSTransportation #HawkTalk #CreateEncouragePromoteDevelop #ENSATS,2020-09-01 10:41:20,,
19,7.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118736501_1201259933586423_3975132596395307231_n.jpg?_nc_cat=111&_nc_sid=da1649&_nc_ohc=GkT17uNl3VoAX-UTUpN&_nc_ht=scontent-atl3-1.xx&tp=14&oh=eb01783cd58f8ee5ff13813fa96fbfbd&oe=5F81C10A,82.0,,1201259930253090,Congratulations! Thank you for your service. #servicetoourcountry #ENSAlumni #HawkTalk #CreateEncouragePromoteDevelop #ENSATS,,,0.0,Congratulations! Thank you for your service. #servicetoourcountry #ENSAlumni #HawkTalk #CreateEncouragePromoteDevelop #ENSATS,2020-09-01 08:14:27,,
20,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118702951_1200633733649043_6208226546398313707_o.jpg?_nc_cat=105&_nc_sid=8024bb&_nc_ohc=3N9B1Zuo5I0AX-VL5S2&_nc_ht=scontent-atl3-1.xx&tp=14&oh=f8b96762223799eb38b1e798fd7f0b78&oe=5F83FD6F,44.0,,1200633813649035,Last session of day one: COVID Protocols in Action! #HawkTalk #CreateEncouragePromoteDevelop #ENSATS,https://facebook.com/story.php?story_fbid=1200633813649035&id=232144207164672,,0.0,Last session of day one: COVID Protocols in Action! #HawkTalk #CreateEncouragePromoteDevelop #ENSATS,2020-08-31 13:16:11,,
21,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118709589_1200499526995797_6895008471666788481_o.jpg?_nc_cat=111&_nc_sid=da1649&_nc_ohc=FrG9_jwitAYAX90Fxip&_nc_ht=scontent-atl3-1.xx&tp=14&oh=b67b18c54e935d9947ca36c6365e57b1&oe=5F8280D7,44.0,,1200499523662464,Welcome back to our Faculty! Reviewing the big picture with Dr. Riccio and much more! #HawkTalk #CreateEncouragePromoteDevelop #ENSATS,,,0.0,Welcome back to our Faculty! Reviewing the big picture with Dr. Riccio and much more! #HawkTalk #CreateEncouragePromoteDevelop #ENSATS,2020-08-31 10:06:01,,
22,2.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118278974_1200472043665212_8701177356396711435_o.jpg?_nc_cat=107&_nc_sid=da1649&_nc_ohc=ag_1mPsXJLMAX8elSUg&_nc_ht=scontent-atl3-1.xx&tp=14&oh=05786d800c01283ab0650de56456df43&oe=5F8187F7,59.0,,1200472040331879,"First session of round robin professional development underway! This group is learning about new cleaning and disinfecting, changes to the HVAC systems, and more! #ENSStaff #HawkTalk #CreateEncouragePromoteDevelop #ENSATS",,,0.0,"First session of round robin professional development underway! This group is learning about new cleaning and disinfecting, changes to the HVAC systems, and more! #ENSStaff #HawkTalk #CreateEncouragePromoteDevelop #ENSATS",2020-08-31 09:24:46,,
23,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118666162_1198382770540806_88087437817261823_o.jpg?_nc_cat=100&_nc_sid=da1649&_nc_ohc=Jeydc9eOLVIAX-lQCCI&_nc_ht=scontent-atl3-1.xx&tp=14&oh=b2076f3d4e372a9e555c2722f7ff710b&oe=5F82D823,23.0,,1198382767207473,"On August 28, 1963, Martin Luther King, Jr. delivered his famous ""I Have a Dream"" speech on the steps of the Lincoln Memorial during the March on Washington for Jobs and Freedom. Over 200,000 people gathered in peaceful demonstration to promote Civil Rights and economic eqality for African Americans, urging Congress to pass the Civil Rights Act. #HawkTalk #CreateEncouragePromoteDevelop #ENSATS",,,0.0,"On August 28, 1963, Martin Luther King, Jr. delivered his famous ""I Have a Dream"" speech on the steps of the Lincoln Memorial during the March on Washington for Jobs and Freedom. Over 200,000 people gathered in peaceful demonstration to promote Civil Rights and economic eqality for African Americans, urging Congress to pass the Civil Rights Act. #HawkTalk #CreateEncouragePromoteDevelop #ENSATS",2020-08-28 19:46:43,,
24,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118674651_1198322813880135_5251781901156954230_o.jpg?_nc_cat=104&_nc_sid=da1649&_nc_ohc=MR92c7WfaGYAX_1mwdP&_nc_ht=scontent-atl3-1.xx&tp=14&oh=15aca57ba849001f3b4de20b96c937a3&oe=5F83642B,12.0,https://buff.ly/2FY8u9t,1198322810546802,"The Weekly Message from ENSATS is now available: https://buff.ly/2FY8u9t This week's message includes the date that schedules will be available, Drivers Education information, a link to our Virtual Learning Plan, a recap of New Parent/Caregiver Orientation, a link to our school calendars, new student orientation information, work permit information, and more! #HawkTalk #CreateEncouragePromoteDevelop #ENSATS",,,0.0,"The Weekly Message from ENSATS is now available: https://buff.ly/2FY8u9t This week's message includes the date that schedules will be available, Drivers Education information, a link to our Virtual Learning Plan, a recap of New Parent/Caregiver Orientation, a link to our school calendars, new student orientation information, work permit information, and more! #HawkTalk #CreateEncouragePromoteDevelop #ENSATS",2020-08-28 17:47:23,,
25,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118589332_1198089900570093_2327794552306336225_o.jpg?_nc_cat=100&_nc_sid=da1649&_nc_ohc=tW2Af0o5DdgAX-1Oghn&_nc_ht=scontent-atl3-1.xx&tp=14&oh=20f56193561f78d58483827669757985&oe=5F829298,42.0,,1198089893903427,PD planning happening for our reopening! Can’t wait to see the teachers! #ENSLeadership #HawkTalk #CreateEncouragePromoteDevelop #ENSATS,,,0.0,PD planning happening for our reopening! Can’t wait to see the teachers! #ENSLeadership #HawkTalk #CreateEncouragePromoteDevelop #ENSATS,2020-08-28 11:45:11,,
26,12.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118518493_1197886463923770_6128205119465808296_o.jpg?_nc_cat=101&_nc_sid=da1649&_nc_ohc=04uJ9LfUHzoAX8t3w5S&_nc_ht=scontent-atl3-1.xx&tp=14&oh=6a039cb41ad930173d6e8f72819a885b&oe=5F84BA57,115.0,,1197886460590437,"Today is our final prep day before our teachers come back for 10 days of PD. We have much to do, but working together we will get it done. This campus will come alive again! #HawkTalk #CreateEncouragePromoteDevelop #ENSATS",,,0.0,"Today is our final prep day before our teachers come back for 10 days of PD. We have much to do, but working together we will get it done. This campus will come alive again! #HawkTalk #CreateEncouragePromoteDevelop #ENSATS",2020-08-28 06:36:27,,
27,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118238111_1196666420712441_6870547438964639183_o.jpg?_nc_cat=107&_nc_sid=8024bb&_nc_ohc=krcDRuGFd48AX9MEcUS&_nc_ht=scontent-atl3-1.xx&tp=14&oh=c91fd8c18ed2db8723c59769f803db88&oe=5F824DBC,40.0,,1196666527379097,"So excited to welcome our Partnership Students into our Hawk Family! A grant funded opportunity for students from Beverly, Gloucester, Peabody, and Salem. #futureready #ENSPartnerships #CareerTechEd #HawkTalk #CreateEncouragePromoteDevelop #ENSATS",https://facebook.com/story.php?story_fbid=1196666527379097&id=232144207164672,,0.0,"So excited to welcome our Partnership Students into our Hawk Family! A grant funded opportunity for students from Beverly, Gloucester, Peabody, and Salem. #futureready #ENSPartnerships #CareerTechEd #HawkTalk #CreateEncouragePromoteDevelop #ENSATS",2020-08-26 17:47:08,,
28,2.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118548797_1196464787399271_3039206983947270552_n.jpg?_nc_cat=101&_nc_sid=da1649&_nc_ohc=QmFxut3phj4AX-y46pK&_nc_ht=scontent-atl3-1.xx&tp=14&oh=412ed0f270a3d44ba2de027501f28ca8&oe=5F833D23,48.0,,1196464784065938,Words to live by. #HawkThoughts #HawkTalk #CreateEncouragePromoteDevelop #ENSATS,,,0.0,Words to live by. #HawkThoughts #HawkTalk #CreateEncouragePromoteDevelop #ENSATS,2020-08-26 12:00:09,,
29,8.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118516858_1196343210744762_9115488622033648110_o.jpg?_nc_cat=109&_nc_sid=da1649&_nc_ohc=tKeb93jKuVEAX9lJ-mU&_nc_ht=scontent-atl3-1.xx&tp=14&oh=668d753a1c76f0c7d97b74a00ba665c4&oe=5F8508F4,84.0,,1196343207411429,Look at these awesome masks! Made by a parent. Some fun animal prints too! Thank you Ms. Ogno! You rock. #HawkTalk #CreateEncouragePromoteDevelop #ENSATS,,,0.0,Look at these awesome masks! Made by a parent. Some fun animal prints too! Thank you Ms. Ogno! You rock. #HawkTalk #CreateEncouragePromoteDevelop #ENSATS,2020-08-26 09:01:02,,
30,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/117951982_1195876094124807_2829428590058124663_o.jpg?_nc_cat=102&_nc_sid=da1649&_nc_ohc=9wDuns3iChoAX8FwdRC&_nc_ht=scontent-atl3-1.xx&tp=14&oh=dc1ae376ba9e7666ac5ffecdda5633f4&oe=5F852E5B,62.0,,1195876090791474,New student orientation! Love our families! Can’t wait until we meet our new students. #NewestHawks #HawkTalk #CreateEncouragePromoteDevelop #ENSATS,,,0.0,New student orientation! Love our families! Can’t wait until we meet our new students. #NewestHawks #HawkTalk #CreateEncouragePromoteDevelop #ENSATS,2020-08-25 18:18:21,,
31,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118514080_1195761934136223_8869415886819603343_o.jpg?_nc_cat=106&_nc_sid=8024bb&_nc_ohc=oX8TTXmwdP4AX_z-YyR&_nc_ht=scontent-atl3-1.xx&tp=14&oh=70de9bc17800c95c56cf1c11f20292f7&oe=5F82660A,19.0,,1195762004136216,Leadership read! The team has the capacity to achieve the big arrow! #ENSLeadership #HawkTalk #CreateEncouragePromoteDevelop #ENSATS,https://facebook.com/story.php?story_fbid=1195762004136216&id=232144207164672,,0.0,Leadership read! The team has the capacity to achieve the big arrow! #ENSLeadership #HawkTalk #CreateEncouragePromoteDevelop #ENSATS,2020-08-25 15:00:08,,
32,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118269284_1195646610814422_5233266308501148617_o.jpg?_nc_cat=105&_nc_sid=8024bb&_nc_ohc=CgEJe-CFeoEAX8-C-1n&_nc_ht=scontent-atl3-1.xx&tp=14&oh=42de61a6d9036b151c1fe5653fff2e85&oe=5F8291EB,78.0,,1195646710814412,Principal Donnelly talking to our new staff about professional expectations. #Welcome #ENSLeadership #ENSStaff #HawkTalk #CreateEncouragePromoteDevelop #ENSATS,https://facebook.com/story.php?story_fbid=1195646710814412&id=232144207164672,,0.0,Principal Donnelly talking to our new staff about professional expectations. #Welcome #ENSLeadership #ENSStaff #HawkTalk #CreateEncouragePromoteDevelop #ENSATS,2020-08-25 12:00:56,,
33,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118460966_1195602144152202_7834555026461124998_o.jpg?_nc_cat=100&_nc_sid=8024bb&_nc_ohc=5h7J2OmvXnUAX_Sjg4_&_nc_ht=scontent-atl3-1.xx&tp=14&oh=6dbb461c656663cff4ee04192a873b2d&oe=5F82F535,39.0,,1195602327485517,The work at Larkin Cottage continues! #StudentWorkers #LearningByDoing #RebuildLarkin #CareerTechEd #HawkTalk #CreateEncouragePromoteDevelop #ENSATS,https://facebook.com/story.php?story_fbid=1195602327485517&id=232144207164672,,0.0,The work at Larkin Cottage continues! #StudentWorkers #LearningByDoing #RebuildLarkin #CareerTechEd #HawkTalk #CreateEncouragePromoteDevelop #ENSATS,2020-08-25 10:59:39,,
34,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118406756_1194263190952764_8729011100912824488_o.jpg?_nc_cat=103&_nc_sid=da1649&_nc_ohc=GfbHjdhmFMwAX8CpxXv&_nc_ht=scontent-atl3-1.xx&tp=14&oh=be5cc87be6947443c54ed4fda125e551&oe=5F84CDD0,10.0,,1194263187619431,"May you rest forever in peace, Sir Kenneth Robinson. Your impact on education across the world, especially with integration, will never be forgotten. “If you’re not prepared to be wrong, you’ll never come up with anything original.“ #HawkThoughts #HawkTalk #ENSATS",,,0.0,"May you rest forever in peace, Sir Kenneth Robinson. Your impact on education across the world, especially with integration, will never be forgotten. “If you’re not prepared to be wrong, you’ll never come up with anything original.“ #HawkThoughts #HawkTalk #ENSATS",2020-08-23 19:55:57,,
35,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118276083_1192555431123540_4850793344639613533_o.jpg?_nc_cat=100&_nc_sid=da1649&_nc_ohc=bua9b275umgAX_54eEM&_nc_ht=scontent-atl3-1.xx&tp=14&oh=82ee11db38d9e84cc86d08d53739d704&oe=5F815E88,13.0,https://buff.ly/31k4g4l,1192555421123541,"The Weekly Message from ENSATS is now available: https://buff.ly/31k4g4l This week's message includes a link to a recording of this week's reopening caregiver Q&A session, and update on Return-to-School Safety Protocols, drivers education information, student schedule updates, updated school calendars, regional school re-opening guidance from the state, Freshman & New Student Orientation information, and a recap of the Freshman Integration Summer Academy. #HawkTalk #ENSATS",,,0.0,"The Weekly Message from ENSATS is now available: https://buff.ly/31k4g4l This week's message includes a link to a recording of this week's reopening caregiver Q&A session, and update on Return-to-School Safety Protocols, drivers education information, student schedule updates, updated school calendars, regional school re-opening guidance from the state, Freshman & New Student Orientation information, and a recap of the Freshman Integration Summer Academy. #HawkTalk #ENSATS",2020-08-21 18:44:14,,
